id,title,vote_average,release_date,revenue,runtime,popularity,vote_count
920125,White Men Can't Jump,6.589,2023-05-11,0,101,26.301,192
1061671,"Pamela, A Love Story",7.013,2023-01-30,0,113,10.612,187
845659,Perfect Addiction,6.628,2023-02-16,0,97,59.656,184
758336,Love Again,6.65,2023-05-04,10000000,104,25.145,183
1107872,Mother's Day,5.937,2023-05-24,0,94,53.663,182
800787,A Good Person,7.0,2023-03-23,0,128,16.665,182
921452,Jeanne du Barry,7.0,2023-05-16,0,117,179.543,180
1076487,Warhorse One,7.242,2023-06-30,0,120,230.21,180
1016084,BlackBerry,7.196,2023-02-13,2600000,119,28.508,180
881209,Happiness for Beginners,6.314,2023-07-23,0,103,25.527,180
1002185,A Million Miles Away,8.011,2023-09-08,0,123,311.77,179
1150394,La Leyenda de los Chaneques,8.452,2023-07-14,0,89,152.986,176
967874,Father & Soldier,6.0,2023-01-04,0,109,59.45,175
985617,Reality,6.273,2023-06-02,0,83,23.361,174
714669,Run Rabbit Run,5.294,2023-01-19,0,100,65.514,172
1114905,Death's Roulette,6.4,2023-05-05,0,90,22.511,171
832502,The Monkey King,6.8,2023-08-11,0,92,132.868,170
1010826,Killer Book Club,5.728,2023-08-25,0,89,155.351,169
739986,True Spirit,7.054,2023-01-26,0,109,17.188,168
864168,Joy Ride,6.623,2023-06-22,11000000,95,65.62,167
1008005,The Communion Girl,6.192,2023-02-09,0,103,82.847,167
1119173,A Beautiful Life,7.012,2023-06-01,0,99,23.997,166
1003581,Justice League: Warworld,7.28,2023-07-25,0,90,187.137,166
776835,The Magician's Elephant,7.0,2023-03-10,0,99,26.523,166
676841,Unhappily Ever After,6.951,2023-01-26,0,90,20.954,164
925263,A Brighter Tomorrow,7.32,2023-04-20,0,96,22.814,164
961718,Medellin,5.651,2023-06-01,0,104,21.319,162
818648,Love at First Kiss,6.267,2023-03-03,0,96,18.262,159
1072567,Infiesto,6.026,2023-02-03,0,96,12.801,154
931102,Ride On,7.4,2023-04-07,36232675,126,58.561,151
994143,Skinamarink,5.7,2023-01-13,2100000,100,75.178,148
1149947,To End All War: Oppenheimer & the Atomic Bomb,7.769,2023-07-09,0,88,60.922,147
986070,The Wrath of Becky,6.668,2023-05-26,0,83,103.368,146
1085103,Clock,5.752,2023-03-28,0,92,29.898,145
1003579,Batman: The Doom That Came to Gotham,6.7,2023-03-10,0,86,35.056,143
1003580,Legion of Super-Heroes,6.5,2023-02-07,0,84,26.943,143
1035806,Detective Knight: Independence,5.507,2023-01-20,0,92,32.287,141
996727,The Price We Pay,5.9,2023-01-13,0,85,30.926,140
869641,Vacation Friends 2,6.544,2023-08-25,0,105,51.86,137
899579,There's Something Wrong with the Children,5.824,2023-01-17,0,92,28.834,136
1140056,Gold Brick,6.3,2023-07-06,0,95,22.963,136
858408,Dog Gone,6.32,2023-01-13,0,95,13.364,136
1000081,Sentinelle,5.142,2023-08-27,0,98,102.802,134
555285,"Are You There God? It's Me, Margaret.",7.3,2023-03-29,21826840,107,35.788,132
1143190,Fear the Night,6.416,2023-07-21,0,92,112.762,131
937746,The Captain,8.0,2023-09-07,0,121,10.006,131
813726,A Tourist's Guide to Love,6.36,2023-04-21,0,96,18.106,130
868985,¡Que viva México!,7.411,2023-03-23,4155903,192,25.618,129
972230,Maybe I Do,5.7,2023-01-27,4393504,95,14.849,128
878361,Big George Foreman,7.7,2023-04-27,3800000,129,68.121,128
809787,Mafia Mamma,6.268,2023-04-13,3902761,101,35.316,127
1103825,War of the Worlds: The Attack,5.302,2023-04-21,0,87,158.508,126
723347,Robots,5.808,2023-04-26,0,93,25.071,125
869112,Somebody I Used to Know,5.98,2023-02-10,0,106,16.424,124
829051,About My Father,6.234,2023-05-25,0,90,33.845,124
872954,The Old Way,5.878,2023-01-06,0,95,16.524,123
830896,The Portable Door,6.665,2023-03-23,0,116,28.52,121
862552,The Ritual Killer,5.646,2023-03-09,0,92,24.442,120
1059638,Mr. Car and the Knights Templar,6.133,2023-07-12,0,110,83.114,120
1073170,Zoey 102,6.975,2023-07-27,0,101,59.734,118
800301,What's Love Got to Do with It?,6.068,2023-01-26,10898395,109,15.87,117
989672,Just the Two of Us,7.154,2023-05-24,0,105,18.039,117
746524,Blood,6.899,2023-01-12,0,108,26.523,114
1008392,The Blackening,6.212,2023-06-15,16000000,97,56.495,113
1049638,Rye Lane,7.2,2023-03-17,0,82,9.848,112
932430,Prom Pact,7.259,2023-03-30,0,98,22.389,112
919950,Thank You Guys,6.964,2023-01-12,0,117,4.586,111
1073413,Phenomena,5.77,2023-04-14,0,96,17.617,111
990140,Sakra,6.624,2023-01-16,159959,130,312.183,109
955555,The Roundup: No Way Out,6.651,2023-05-31,0,105,26.717,109
1101799,Queens on the Run,7.0,2023-04-14,0,96,21.553,109
1057577,Noise,4.801,2023-03-17,0,90,13.159,108
1030987,Sympathy for the Devil,6.306,2023-07-20,0,90,225.659,108
864692,Pathaan,6.607,2023-01-25,112000000,146,22.964,107
1058949,Little Dixie,5.836,2023-02-03,0,105,38.341,107
670292,The Creator,7.5,2023-09-27,0,134,496.806,107
913673,Nefarious,7.0,2023-04-14,5433685,98,50.396,107
884184,Consecration,5.825,2023-02-09,1504289,90,48.774,105
983282,The Artifice Girl,6.534,2023-04-27,0,93,13.851,104
801112,Kidnapped,7.684,2023-05-25,0,125,18.508,103
876969,Assassin Club,6.162,2023-02-24,188292,113,36.325,102
942199,Simulant,5.916,2023-03-29,0,95,28.986,101
931935,The Extortion,7.5,2023-04-06,0,105,14.923,101
942922,80 for Brady,6.61,2023-02-03,29637811,98,17.646,100
808396,God Is a Bullet,6.333,2023-06-22,0,155,43.8,99
1018228,Chor Nikal Ke Bhaga,7.191,2023-03-24,0,110,12.847,97
869612,Master Gardener,6.361,2023-05-19,563772,111,30.804,97
700819,The First Day of my Life,6.66,2023-01-26,0,121,11.737,97
1066298,Full River Red,5.75,2023-01-22,673556758,157,24.642,96
758769,Unwelcome,5.938,2023-01-27,0,104,88.917,96
1098239,"Tango, Tequila and Some Lies",7.063,2023-03-09,0,114,15.295,96
957770,Sage homme,7.313,2023-03-15,0,105,6.332,96
1061117,The Hatchet Wielding Hitchhiker,6.1,2023-01-10,0,87,7.172,95
1000475,River Wild,6.606,2023-08-01,0,92,145.586,95
988762,A Place to Fight For,6.905,2023-06-08,0,103,18.414,95
1130818,Sheroes,6.447,2023-06-23,0,91,83.547,94
1058699,STILL: A Michael J. Fox Movie,7.5,2023-01-20,0,95,15.403,94
1079078,Royalteen: Princess Margrethe,6.806,2023-05-11,0,98,20.525,93
