title,id,channel_id,published,viewCount,likeCount,commentCount,duration,duration_clean,engagement
"SULTAN FIFA Dapet 1,5MILYAR FIFA POINT + NEYMAR JR 113 + TAMATIN STARPASS! - Fifa 22 Mobile",G4T0lSknyLQ,UCXdmo_q4SawYMz-dmeKEHPQ,2023-06-03 07:00:09+00:00,227173,5288,393,PT15M24S,15.4,0.025007373235375684
HARI TERAKHIR BALAP BOOYAH PASS!?! RESMI TAMAT! - Free Fire Indonesia,dm4LMgIuK18,UCXdmo_q4SawYMz-dmeKEHPQ,2023-06-01 07:00:13+00:00,68840,2969,173,PT12M14S,12.233333333333333,0.04564206856478791
BOOYAH PASS GUE DIBALAP 100.000 SAMA ORANG INDO?!! - FREE FIRE INDONESIA,x8dq-lj2i1k,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-30 07:00:21+00:00,101175,3823,287,PT10M48S,10.8,0.04062268346923647
SULTAN FREE FIRE BELI 6.700.000 DIAMONDS! Akhirnya FREE FIRE TAMAT!! - Free Fire Indonesia,XLoEzzvnzdM,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-25 07:00:12+00:00,93950,3949,328,PT12M14S,12.233333333333333,0.04552421500798297
AKHIRNYA! Gw BELI Cristiano Ronaldo OVR 112! SIUUUUUU!! - Fifa 22 Mobile,IZFUDQIW0Ko,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-24 07:00:12+00:00,191392,4388,136,PT17M12S,17.2,0.02363735161344257
BOOYAH PASS BADGE GW DIBALAP ORANG INDONESIA!? Siapakah dia??? - Free Fire Indonesia,ewepS3mNqjI,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-23 07:00:26+00:00,54074,2423,212,PT8M48S,8.8,0.04872951880756001
BORONG SEMUANYA YANG ADA DI SHOP!! - FREE FIRE INDONESIA,k0teBpoYzQE,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-20 07:00:19+00:00,78473,2572,148,PT12M51S,12.85,0.034661603354019854
BUNDLE SCORPION EVO! Bisa Di UPGRADE? BELI SEMUA! - Free Fire Indonesia,6LgnQ23cZOw,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-19 07:00:02+00:00,86579,2732,212,PT11M59S,11.983333333333333,0.03400362674551566
GAME MASA KECIL GUE DI WARNET SEKARANG ADA DI SMARTPHONE! - Seal M Indonesia,FUV2-WsrusY,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-17 12:00:10+00:00,20818,666,49,PT18M53S,18.883333333333333,0.03434527812469978
NEKAD ABISIN 47K FIFA POINT! DEMI CB 115 MALDINI!! - Fifa 22 Mobile,iXrWiJDY4do,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-14 07:00:16+00:00,105076,2927,104,PT15M55S,15.916666666666666,0.028845787810727472
BALAP BOOYAH PASS SAMPE TOLOL! 60.000 LEVEL COY! - Free Fire Indonesia,I2X-uIv-yYM,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-08 08:00:38+00:00,64848,3851,226,PT12M39S,12.65,0.0628700962250185
"BAKAR 3,3JUTA DIAMOND BORONG SEMUA SHOP DAN UPDATE BARU!! - Free Fire Indonesia",YxkAFtrn67A,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-07 07:00:15+00:00,232619,9571,541,PT11M46S,11.766666666666667,0.04347022384242044
TOPUP 3JUTA DIAMOND! SHOTGUN KALAJENGKING EVO GUN MENTOK LEVEL 8! - Free Fire Indonesia,t7sRIcLYNeI,UCXdmo_q4SawYMz-dmeKEHPQ,2023-05-06 07:00:21+00:00,157592,5445,370,PT12M52S,12.866666666666667,0.036899081171633076
TELAT TAPI HOKI! Mystery Shop PALING GACOR DISKON HAMPIR 99%!? - Free Fire Indonesia,M5-lJ-iDmjc,UCXdmo_q4SawYMz-dmeKEHPQ,2023-04-28 07:45:01+00:00,103324,3262,347,PT11M6S,11.1,0.03492896132553908
Char Knight DylandPROS Di Game MMORPG TERBAIK! - Ragnarok Origin Global Indonesia,BMNk925NtLM,UCXdmo_q4SawYMz-dmeKEHPQ,2023-04-24 07:00:03+00:00,23800,735,72,PT22M34S,22.566666666666663,0.033907563025210086
Das Ende von Piranha Bytes: Rückblick mit Jenny und Björn von @pitheadstudio,sAVluv0qdwk,UC6C1dyHHOMVIBAze8dWfqCw,2024-07-28 16:01:00+00:00,84119,3258,697,PT23M7S,23.116666666666667,0.047016726304402096
"Komm schon, Ubisoft: Diese Assassin's Creed Remakes müssen passieren!",5dT2j7VlUPU,UC6C1dyHHOMVIBAze8dWfqCw,2024-07-27 10:01:01+00:00,56872,2034,300,PT11M25S,11.416666666666666,0.041039527359684906
Das neue Fallout ist kostenlos und 7 Days to Die endlich fertig - Neu & Gratis-Games,gUT0tq85evk,UC6C1dyHHOMVIBAze8dWfqCw,2024-07-26 16:30:08+00:00,114459,2880,161,PT11M18S,11.3,0.026568465564088452
"Proteste bei Activision, EA, Epic, Take 2 & Co - News 26.07.24",kNWSKOZDsX4,UC6C1dyHHOMVIBAze8dWfqCw,2024-07-26 14:02:40+00:00,63769,3527,283,PT10M28S,10.466666666666669,0.05974689896344619
Fallout: London macht es kompliziert - News 25.07.2024,gfhudLiZtYM,UC6C1dyHHOMVIBAze8dWfqCw,2024-07-25 13:33:13+00:00,61476,3209,196,PT8M56S,8.933333333333334,0.05538746828030451
Total War kämpft um Vergebung und macht dafür jetzt den nächsten Schritt!,EMEteVOzzx4,UC6C1dyHHOMVIBAze8dWfqCw,2024-07-24 17:30:05+00:00,111767,2829,355,PT12M3S,12.05,0.02848783630230748
Ärger um Assassin's Creed: So antwortet Ubisoft - News 24.07.2024,7Wl3YKrrkKU,UC6C1dyHHOMVIBAze8dWfqCw,2024-07-24 15:09:40+00:00,66441,3423,347,PT9M41S,9.683333333333334,0.05674207191342695
